id,title,description
1,Full Stack Development,Description for Full Stack Development
2,Data Science,Description for Data Science
3,Machine Learning,Description for Machine Learning
4,Cybersecurity,Description for Cybersecurity
5,Cloud Computing,Description for Cloud Computing
6,Mobile App Development,Description for Mobile App Development
7,DevOps,Description for DevOps
8,Web Development,Description for Web Development
9,Game Development,Description for Game Development
10,Digital Marketing,Description for Digital Marketing
11,Blockchain Technology,Description for Blockchain Technology
12,Artificial Intelligence,Description for Artificial Intelligence
13,UI/UX Design,Description for UI/UX Design
14,IT Support,Description for IT Support
15,Project Management,Description for Project Management
16,Sales Skills,Description for Sales Skills
17,Business Analysis,Description for Business Analysis
18,Human Resources,Description for Human Resources
19,Finance Basics,Description for Finance Basics
20,Content Creation,Description for Content Creation
